person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
35,115037,MORTGAGE,6.488237762144793,PERSONAL,B,13073,9.38,0.11,N,9,0
28,43617,MORTGAGE,4.9104056348711485,EDUCATION,A,21251,7.01,0.49,N,3,0
27,22260,OWN,0.0,MEDICAL,A,11829,7.31,0.53,N,5,0
27,40545,MORTGAGE,7.830923138641117,HOMEIMPROVEMENT,B,12646,10.2,0.31,N,4,1
49,63108,MORTGAGE,18.414074738408416,VENTURE,A,12513,7.53,0.2,N,16,0
38,95856,MORTGAGE,5.209241118369281,HOMEIMPROVEMENT,A,5417,6.64,0.06,N,8,0
25,139675,MORTGAGE,4.1714372497622065,MEDICAL,B,10402,9.8,0.07,N,4,0
36,118425,RENT,3.7499111900111775,HOMEIMPROVEMENT,A,7177,8.92,0.06,N,4,0
32,31857,RENT,12.430430603607004,PERSONAL,A,11012,8.62,0.35,N,6,0
20,100870,OWN,,DEBTCONSOLIDATION,A,12021,7.91,0.12,N,2,0
21,67185,MORTGAGE,1.4791358640409749,VENTURE,D,13917,16.49,0.21,N,2,0
33,37796,MORTGAGE,0.0,HOMEIMPROVEMENT,A,12479,7.7,0.33,N,12,0
48,48216,RENT,10.172136675508735,VENTURE,C,12670,13.44,0.26,N,13,0
28,36665,RENT,5.007169839596199,PERSONAL,C,7453,12.79,0.2,N,7,0
25,55292,MORTGAGE,4.471087875831621,EDUCATION,B,33219,11.64,0.6,N,4,0
31,36267,RENT,6.40135731666771,PERSONAL,A,12192,8.98,0.34,N,6,0
24,30779,RENT,3.6973080484705623,DEBTCONSOLIDATION,D,9627,15.54,0.31,Y,4,0
27,70510,RENT,3.0708671773057987,EDUCATION,B,17166,11.36,0.24,N,3,0
30,76557,MORTGAGE,0.6434321200322217,DEBTCONSOLIDATION,A,7901,7.13,0.1,N,4,0
20,48865,MORTGAGE,1.7943805891512734,EDUCATION,B,3474,9.84,0.07,Y,2,0
39,114944,OWN,8.371310753961449,HOMEIMPROVEMENT,A,6080,7.12,0.05,N,10,0
20,46946,MORTGAGE,2.713817214844754,HOMEIMPROVEMENT,B,4654,10.17,0.1,N,2,0
20,45865,MORTGAGE,3.065024120949376,MEDICAL,B,11191,10.95,0.24,N,2,0
